Ticker,Market Cap,PE Ratio (TTM),PE Ratio (Current),Dividend Yield,Beta,Payout Ratio,Return on Equity (ROE),Retention Ratio,EPS Growth (ROE x Retention),Sector
KEY,21520537600,12.993422,12.769736842105264,4.22,1.086,0.5395,0.09482,0.4605,0.04366461,Financials
KEYS,49867071488,51.096657,48.7750439367311,0.0,1.137,0.0,0.17222999,1.0,0.17222999,Information Technology
KMB,33182279680,20.569958,20.205761316872426,5.21,0.234,1.037,1.26603,-0.03699999999999992,-0.0468431099999999,Consumer Staples
KIM,15456954368,27.835367,27.243902439024392,4.66,1.058,1.2317,0.055370003,-0.23170000000000002,-0.012829229695100001,Real Estate
KMI,73974595584,24.27,23.97080291970803,3.56,0.648,0.85040003,0.09826,0.14959997000000003,0.014699693052200003,Energy
KKR,83665633280,38.60684,38.46153846153847,0.82,2.013,0.312,0.08558,0.688,0.05887904,Financials
KLAC,199880589312,44.325466,43.66754079254079,0.51,1.448,0.21540001,1.00726,0.78459999,0.7902961859274,Information Technology
KHC,25124982784,,,7.42,0.01,0.7306,-0.12837,0.2694,-0.034582878,Consumer Staples
KR,44610170880,47.178574,47.532467532467535,1.91,0.59,0.8701,0.14405,0.12990000000000002,0.018712095000000005,Consumer Staples
LHX,66110087168,41.385246,41.31733021077284,1.42,0.606,0.56270003,0.08191,0.43729997,0.0358192405427,Industrials
